study,Key,Item_Type,Publication_Year,Author,Title,Publication_Title,ISSN,DOI,abstract_note,date,pages,journal_abbreviation,library_catalog,extra,link,automatic_tags,cites
ROS,R5CDIFUR,journalArticle,1992,"Da, Bennett; Dw, Gilley; Rs, Wilson; Ms, Huckman; Jh, Fox",Clinical correlates of high signal lesions on magnetic resonance imaging in Alzheimer's disease,Journal of neurology,0340-5354,10.1007/BF00839137,"The pathophysiology and clinical significance of high signal lesions, visualized on magnetic resonance imaging (MRI) in patients with Alzheimer's disease (AD), remain controversial. Since they are known to correlate with vascular disease and vascular risk factors, we reviewed the clinical correlates …",1992-04,,,PubMed,Publisher: J Neurol PMID: 1597684,http://www.ncbi.nlm.nih.gov/pubmed/1597684,,
ROS,E2CQ9ZHM,journalArticle,1993,"Bennett, D. A.; Cochran, E. J.; Saper, C. B.; Leverenz, J. B.; Gilley, D. W.; Wilson, R. S.",Pathological changes in frontal cortex from biopsy to autopsy in Alzheimer's disease,Neurobiology of Aging,0197-4580,10.1016/0197-4580(93)90043-b,"We evaluated the change in density of total senile plaques, plaque subtypes, and neurofibrillary tangles, from biopsy to autopsy in left frontal cortical sections from four patients with clinically typical Alzheimer's disease (AD). Comparisons were made on sections stained with modified Bielschowsky and Thioflavin S. In two cases, comparisons were also made on tissue stained with a monoclonal Alz-50 antibody and an antiserum to A beta (beta-amyloid protein). Despite a marked decline in mental status over several years of follow-up clinical evaluations, there was no consistent significant change in numerical density of plaques or tangles among the four cases. However, we did find fewer primitive plaques in the autopsy specimens. These results from longitudinally evaluated persons with typical AD suggest that although plaques and tangles may serve as adequate markers of the presence of AD, their numerical density within a single neocortical region may not reflect dementia severity. This conclusion supports the results of recent cross-sectional studies on the progression of pathology among persons with AD.",15/06/2005,589-596,Neurobiol Aging,PubMed,PMID: 8295661,http://www.ncbi.nlm.nih.gov/pubmed/8295661,"Humans; Amyloid beta-Peptides; Alzheimer Disease; Cognition; Neurofibrillary Tangles; Cerebral Cortex; Antibodies, Monoclonal; Antigens; Bethanechol Compounds; Injections, Intraventricular",
ROS,TG7CJGU2,journalArticle,1994,"Sobreviela, T.; Clary, D. O.; Reichardt, L. F.; Brandabur, M. M.; Kordower, J. H.; Mufson, E. J.","TrkA-immunoreactive profiles in the central nervous system: colocalization with neurons containing p75 nerve growth factor receptor, choline acetyltransferase, and serotonin",The Journal of Comparative Neurology,0021-9967,10.1002/cne.903500407,"The present investigation used an antibody directed against the extracellular domain of the signal transducing nerve growth factor receptor, trkA, to reveal immunoreactive perikarya or fibers within the olfactory bulb and tubercle, cingulate cortex, nucleus accumbens, striatum, endopiriform nucleus, septal/diagonal band complex, nucleus basalis, hippocampal complex, thalamic paraventricular and reuniens nuclei, periventricular hypothalamus, interpeduncular nucleus, mesencephalic nucleus of the fifth nerve, dorsal nucleus of the lateral lemniscus, prepositus hypoglossal nucleus, ventral cochlear nucleus, ventral lateral tegmentum, medial vestibular nucleus, spinal trigeminal nucleus oralis, nucleus of the solitary tract, raphe nuclei, and spinal cord. Colocalization experiments revealed that virtually all striatal trkA-immunoreactive neurons (> 99%) coexpressed choline acetyltransferase (ChAT) but not p75 nerve growth factor receptor (NGFR). Within the septal/diagonal band complex virtually all trkA neurons (> 95%) coexpressed both ChAT and p75 NGFR. More caudally, dual stained sections revealed numerous trkA/ChAT (> 80%) and trkA/p75 NGFR (> 95%) immunoreactive neurons within the nucleus basalis. In the brainstem, raphe serotonergic neurons (45%) coexpressed trkA. Sections stained with a pan-trk antibody that recognizes primarily trkA, as well as trkB and trkC, labeled neurons within all of these regions as well as within the hypothalamic arcuate, supramammilary, and supraoptic nuclei, hippocampus, inferior and superior colliculus, substantia nigra, ventral tegmental area of T'sai, and cerebellular Purkinje cells. Virtually all of these other regions with the exception of the cerebellum also expressed pan-trk immunoreactivity in the monkey. The widespread expression of trkA throughout the central neural axis suggests that this receptor may play a role in signal transduction mechanisms linked to NGF-related substances in cholinergic basal forebrain and noncholinergic systems. These findings suggest that pharmacological use of ligands for trkA could have beneficial effects on the multiple neuronal systems that are affected in such disorders as Alzheimer's disease.",22/12/1994,587-611,J Comp Neurol,PubMed,PMID: 7890832 PMCID: PMC2710128,http://www.ncbi.nlm.nih.gov/pubmed/7890832,"Male; Animals; Rats; Protein-Tyrosine Kinases; Signal Transduction; Neurons; Serotonin; Immunohistochemistry; Choline O-Acetyltransferase; Prosencephalon; Central Nervous System; Receptors, Nerve Growth Factor; Nerve Fibers; Raphe Nuclei; Rats, Sprague-Dawley",
ROS,IBL367HX,journalArticle,1994,"De Lacalle, S.; Lim, C.; Sobreviela, T.; Mufson, E. J.; Hersh, L. B.; Saper, C. B.",Cholinergic innervation in the human hippocampal formation including the entorhinal cortex,The Journal of Comparative Neurology,0021-9967,10.1002/cne.903450302,"The cholinergic innervation of the hippocampal formation is thought to play an important role in memory processes, but its organization in humans has not been described in detail. We studied the cholinergic innervation of the human hippocampal formation by means of immunohistochemistry with polyclonal antisera directed against acetylcholinesterase (AChE), choline acetyltransferase (ChAT), and the low-affinity (p75) nerve growth factor receptor (NGFR). The density of ChAT-like immunoreactive (ChAT-li) fibers differed substantially among the various regions, in general paralleling the pattern of AChE-li staining. One notable exception was the presence of AChE-li cell bodies. In contrast, ChAT immunoreactivity was associated only with fibers and terminals. NGFR-li staining corresponded closely to the ChAT-li fiber pattern. ChAT-li fibers in the CA fields diffusely filled the stratum pyramidale and extended into the stratum oriens and radiatum as well. The highest density was consistently observed in CA4 and CA3 subfields. Staining decreased from CA4 to CA1 and was substantially less dense in the subicular complex. In the entorhinal cortex, the ChAT- and NGFR-li fiber innervation displayed a laminar pattern, most intense over the nests of cells in layer II. There was a trend towards an age-related reduction in the density of ChAT- and AChE-li fibers and terminals. Nonetheless, we also found a surprisingly conserved NGFR-li innervation and the presence of occasional NGFR-li pyramidal cells, providing evidence of a plastic response in the brains of the elderly patients.",15/07/1994,321-344,J Comp Neurol,PubMed,PMID: 7929905,http://www.ncbi.nlm.nih.gov/pubmed/7929905,"Adult; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Acetylcholinesterase; Nerve Growth Factors; Hippocampus; Immunohistochemistry; Pyramidal Cells; Choline O-Acetyltransferase; Parasympathetic Nervous System; Nerve Fibers",
ROS,7F5PIJG8,journalArticle,1994,"Bennett, D. A.; Gilley, D. W.; Lee, S.; Cochran, E. J.",White matter changes: neurobehavioral manifestations of Binswanger's disease and clinical correlates in Alzheimer's disease,"Dementia (Basel, Switzerland)",1013-7424,10.1159/000106713,"Although white matter lesions (WMLs) are among the most common structural neuroimaging changes found on computed tomography and magnetic resonance imaging of older persons with dementia, their presence should not be misconstrued as proof that vascular disease is causing or contributing to the dementia. We report the results of several studies examining the neurobehavioral manifestations of persons meeting explicit operational criteria for Binswanger's disease (BD) and the clinical correlates of white matter changes in persons with autopsy-proven Alzheimer's disease (AD). The findings suggest that relative to persons with AD of comparable dementia severity, persons with BD have less profound impairments in episodic memory, more depressive symptomatology and a more variable rate of cognitive decline; among persons with AD, some WMLs are associated with incontinence and gait disturbance, but they do not appear to contribute to dementia severity.",16/06/2005,148-152,Dementia,PubMed,PMID: 8087170,http://www.ncbi.nlm.nih.gov/pubmed/8087170,"Humans; Brain; Alzheimer Disease; Neurologic Examination; Magnetic Resonance Imaging; Cognition Disorders; Dementia, Vascular; Psychiatric Status Rating Scales; Urinary Incontinence; Tomography, X-Ray Computed; Behavior",
ROS,8MBYEJ5M,journalArticle,1994,"Mufson, E. J.; Conner, J. M.; Varon, S.; Kordower, J. H.",Nerve growth factor-like immunoreactive profiles in the primate basal forebrain and hippocampal formation,The Journal of Comparative Neurology,0021-9967,10.1002/cne.903410407,"The distribution of nerve growth factor (NGF), the prototypic neurotropin, within the basal forebrain and hippocampal formation of young adult monkeys and aged humans was characterized with an affinity purified polyclonal beta-NGF antibody raised against mouse beta-NGF. In the basal forebrain of both primates, a granular NGF-like immunoreactive (ir) reaction product was observed within neurons of the medial septum, nucleus of the diagonal band, and nucleus basalis of Meynert. NGF-like immunoreactivity exclusively colocalized within p75 NGF receptor (NGFR) containing basal forebrain neurons. The intensity of NGF immunolabeling varied between cell bodies. Many NGF-ir perikarya were highly immunoreactive. In other basal forebrain neurons, NGF-like immunoreactivity was either undetectable or minimally expressed. In the hippocampus of both species, NGF-like immunoreactivity was mainly localized within the hilus of the dentate gyrus and within CA3 and CA2 hippocampal subfields. A marked diminution in NGF-like staining was seen in CA1. Within the hippocampal formation, NGF-like immunoreactivity was heaviest within the neuropil of stratum radiatum, intermediate in stratum oriens, and lightest in stratum pyramidal. NGF-like immunoreactivity was not found within the granule or pyramidal cells of the dentate gyrus and hippocampal formation, respectively. These findings demonstrate the presence of an NGF-like antigen in association with monkey and human magnocellular basal forebrain neurons and within their hippocampal target sites. This lends support to the hypothesis that NGF is internalized from sources located within target regions of the primate cholinergic basal forebrain neurons and is retrogradely transported to these cell bodies where the NGF trophic effect likely occurs.",22/03/1994,507-519,J Comp Neurol,PubMed,PMID: 8201026,http://www.ncbi.nlm.nih.gov/pubmed/8201026,Female; Humans; Male; Middle Aged; Animals; Nerve Growth Factors; Hippocampus; Prosencephalon; Cebus; Macaca fascicularis,
ROS,C7HVD557,journalArticle,1995,"Sobreviela, T.; Mufson, E. J.",Reduced nicotinamide adenine dinucleotide phosphate-diaphorase/nitric oxide synthase profiles in the human hippocampal formation and perirhinal cortex,The Journal of Comparative Neurology,0021-9967,10.1002/cne.903580310,"Nicotinamide adenine dinucleotide phosphate-diaphorase (NADPH-d)-stained profiles were evaluated throughout the human hippocampal formation (i.e., dentate gyrus, Ammon's horn, subicular complex, entorhinal cortex) and perirhinal cortex. NADPH-d staining revealed pleomorphic cells, fibers, and blood vessels. Within the entorhinal and the perirhinal cortices, darkly stained (type 1) NADPH-d pyramidal, fusiform, bipolar, and multipolar neurons with extensive dendrites were scattered mainly within deep layers and subjacent white matter. Moderately stained (type 2) NADPH-d round or oval neurons were seen mainly in layers II and III of the entorhinal and perirhinal cortices, in the dentate gyrus polymorphic layer, in the CA fields stratum pyramidal and radiatum, and in the subicular complex. The distribution of type 2 cells was more abundant in the perirhinal cortex compared to the hippocampal formation. Lightly stained (type 3) NADPH-d pyramidal and oval neurons were distributed in CA4, the entorhinal cortex medial subfields, and the amygdalohippocampal transition area. Sections concurrently stained for NADPH-d and nitric oxide synthase (NOS) revealed that all type 1 neurons coexpressed NOS, whereas types 2 and 3 were NOS immunonegative. NADPH-d fibers were heterogeneously distributed within the different regions examined and were frequently in close apposition to reactive blood vessels. The greatest concentration of fibers was in layers III and V-VI of the entorhinal and perirhinal cortices, dentate gyrus polymorphic and molecular layers, and CA1 and CA4. A band of fibers coursing within CA1 divided into dorsal and ventral bundles to reach the presubiculum and entorhinal cortex, respectively. Although the distribution of NADPH-d fibers was conserved across all ages examined (28-98 years), we observed an increase in the density of fiber staining in the aged cases. These results may be relevant to our understanding of selective vulnerability of neuronal systems within the human hippocampal formation in aging and in neurodegenerative diseases.",31/07/1995,440-464,J Comp Neurol,PubMed,PMID: 7560297,http://www.ncbi.nlm.nih.gov/pubmed/7560297,"Adult; Aged; Aged, 80 and over; Humans; Middle Aged; Hippocampus; Cerebral Cortex; Immunohistochemistry; Terminology as Topic; Staining and Labeling; NADPH Dehydrogenase; Nitric Oxide Synthase",
ROS,BUYJDGHK,journalArticle,1995,"Oleske, D. M.; Wilson, R. S.; Bernard, B. A.; Evans, D. A.; Terman, E. W.",Epidemiology of injury in people with Alzheimer's disease,Journal of the American Geriatrics Society,0002-8614,10.1111/j.1532-5415.1995.tb07042.x,"BACKGROUND: Previous studies have suggested that the risk of injury is elevated among persons with dementia, but these studies have focused primarily on falls and fractures. This study characterizes all injuries incurred in a large sample of community-dwelling persons with a specific form of dementia, Alzheimer's disease (AD). SUBJECTS AND METHODS: The sample consisted of 281 community-dwelling persons diagnosed with AD according to NINCDS/ADRDA guidelines. Information regarding all injuries occurring within the previous 6 months was obtained through a structured interview of a caregiver. RESULTS: The rate of injuries was 58.4 per 100 persons per year. Although falling was the single most common mechanism by which injuries occurred, it accounted for only 43.8% of all injuries. Fractures accounted for 13.7% of injuries. Medical treatment was sought for 52.1% of the injuries. After adjustment for age and gender, the likelihood of injury was significantly associated with cognitive impairment and with ADL limitation, but the independent contribution of these two factors could not be assessed. CONCLUSIONS: The findings suggest that injuries are a significant problem in persons with AD.",1995-07,741-746,J Am Geriatr Soc,PubMed,PMID: 7602023,http://www.ncbi.nlm.nih.gov/pubmed/7602023,"Adult; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Prevalence; Alzheimer Disease; Risk Factors; Cognition; Activities of Daily Living; Geriatric Assessment; Sampling Studies; Wounds and Injuries",
ROS,QVI6MZLC,journalArticle,1996,"Cochran, E. J.; Bennett, D. A.; Cervenáková, L.; Kenney, K.; Bernard, B.; Foster, N. L.; Benson, D. F.; Goldfarb, L. G.; Brown, P.",Familial Creutzfeldt-Jakob disease with a five-repeat octapeptide insert mutation,Neurology,0028-3878,10.1212/wnl.47.3.727,"We report a familial form of Creutzfeldt-Jakob disease, associated with a unique insert mutation of the PRNP gene in an American family of Ukrainian origin. Ten family members exhibited early age at onset and long-duration illnesses characterized primarily by personality changes, cognitive impairment, and spasticity. The proband, presenting at age 42 years, exhibited a fairly stable, nonprogressive course over 7 years, followed by precipitous decline and death in the eighth year. Other affected family members exhibited marked clinical heterogeneity. Each tested affected member had an insert mutation consisting of five extra octapeptide repeats between codons 51 and 91 of the PRNP gene on chromosome 20. Examination of two autopsy cases showed classic spongiform change, neuronal loss and astrocytosis in one case, and minimal pathologic abnormality in the other case. This report documents a new insert mutation of the PRNP gene, and confirms the early age of onset, characteristically prolonged clinical course, and clinical and pathologic heterogeneity seen in such mutations.",1996-09,727-733,Neurology,PubMed,PMID: 8797471,http://www.ncbi.nlm.nih.gov/pubmed/8797471,Adult; Humans; Amino Acid Sequence; Molecular Sequence Data; Mutation; Pedigree; Neuropsychological Tests; Creutzfeldt-Jakob Syndrome,
ROS,MQ9A5N2N,journalArticle,1997,"Bennett, D. A.; Shannon, K. M.; Beckett, L. A.; Goetz, C. G.; Wilson, R. S.",Metric properties of nurses' ratings of parkinsonian signs with a modified Unified Parkinson's Disease Rating Scale,Neurology,0028-3878,10.1212/wnl.49.6.1580,"We evaluated the ability of nurse clinicians to assess parkinsonian signs in older persons with a modified version of the motor section of the Unified Parkinson's Disease Rating Scale (UPDRS). After completing a structured training protocol, three nurse clinicians and a neurologist with expertise in movement disorders administered a modified UPDRS to 75 older persons. The nurses repeated the assessment about 3 weeks later. Inter-rater agreement and short-term temporal stability were estimated for each item, the total modified UPDRS score, and for summary measures of bradykinesia, postural reflex impairment, rigidity, and tremor, and a global parkinsonian sign score. We performed our assessment in Catholic religious communities in the Chicago area, using consecutive subjects at four communities participating in the Religious Orders Study, a longitudinal, clinical-pathologic study of older persons. Our results showed that nurses were not a significant source of variability, with intraclass correlations exceeding 0.97 for all items, and they showed good to excellent agreement with the neurologist for most modified UPDRS items. Correlations between nurses and neurologist exceeded 0.90 for the total modified UPDRS, ranged from 0.76 to 0.95 for the four parkinsonian domain scores, and exceeded 0.90 for the global parkinsonian sign score. Nurses showed fair to good agreement with themselves over the 3-week interval for most modified UPDRS items. Correlations over the 3-week interval exceeded 0.90 for the total modified UPDRS score, ranged from 0.70 to 0.95 for the four domain scores, and exceeded 0.90 for the global parkinsonian sign score. Ratings of parkinsonian signs by nurse clinicians corresponded closely to those of a neurologist with expertise in movement disorders and showed good inter-rater agreement and temporal stability. With appropriate training, nurse clinicians can reliably administer the modified UPDRS.",1997-12,1580-1587,Neurology,PubMed,PMID: 9409350,http://www.ncbi.nlm.nih.gov/pubmed/9409350,"Aged; Aged, 80 and over; Female; Humans; Male; Longitudinal Studies; Parkinson Disease; Severity of Illness Index; Neurology; Physicians; Observer Variation; Movement; Nurse Clinicians",
