study,Key,Item_Type,Publication_Year,Author,Title,Publication_Title,ISSN,DOI,abstract_note,date,pages,journal_abbreviation,library_catalog,extra,link,automatic_tags,cites
MAP,HMJ6Q7Z9,journalArticle,2023,"Szigeti, Kinga; Ihnatovych, Ivanna; Rosas, Nicolás; Dorn, Ryu P.; Notari, Emily; Cortes Gomez, Eduardo; He, Muye; Maly, Ivan; Prasad, Shreyas; Nimmer, Erik; Heo, Yuna; Fuchsova, Beata; Bennett, David A.; Hofmann, Wilma A.; Pralle, Arnd; Bae, Yongho; Wang, Jianmin",Neuronal actin cytoskeleton gain of function in the human brain,EBioMedicine,2352-3964,10.1016/j.ebiom.2023.104725,"BACKGROUND: While advancements in imaging techniques have led to major strides in deciphering the human brain, successful interventions are elusive and represent some of the most persistent translational gaps in medicine. Human restricted CHRFAM7A has been associated with neuropsychiatric disorders. METHODS: The physiological role of CHRFAM7A in human brain is explored using multiomics approach on 600 post mortem human brain tissue samples. The emerging pathways and mechanistic hypotheses are tested and validated in an isogenic hiPSC model of CHRFAM7A knock-in medial ganglionic eminence progenitors and neurons. FINDINGS: CHRFAM7A is identified as a modulator of intracellular calcium dynamics and an upstream regulator of Rac1. Rac1 activation re-designs the actin cytoskeleton leading to dynamic actin driven remodeling of membrane protrusion and a switch from filopodia to lamellipodia. The reinforced cytoskeleton leads to an advantage to tolerate stiffer mechanical properties of the extracellular environment. INTERPRETATION: CHRFAM7A modifies the actin cytoskeleton to a more dynamic and stiffness resistant state in an α7nAChR dependent manner. CHRFAM7A may facilitate neuronal adaptation to changes in the brain environment in physiological and pathological conditions contributing to risk or recovery. Understanding how CHRFAM7A affects human brain requires human studies in the areas of memory formation and erasure, cognitive reserve, and neuronal plasticity. FUNDING: This work is supported in part by the Community Foundation for Greater Buffalo (Kinga Szigeti). Also, in part by the International Society for Neurochemistry (ISN) and The Company of Biologists (Nicolas Rosas). ROSMAP is supported by NIA grants P30AG10161, P30AG72975, R01AG15819, R01AG17917. U01AG46152, and U01AG61356.",28/07/2023,104725,EBioMedicine,PubMed,PMID: 37517100 PMCID: PMC10404607,,Actin cytoskeleton; CHRFAM7A; Human brain; iPSC; Multiomics analysis,
MAP,PH8YHNY5,journalArticle,2023,"Ng, Bernard; Tasaki, Shinya; Greathouse, Kelsey M.; Walker, Courtney K.; Zhang, Ada; Covitz, Sydney; Cieslak, Matt; Adamson, Ashley B.; Andrade, Julia P.; Poovey, Emily H.; Curtis, Kendall A.; Muhammad, Hamad M.; Seidlitz, Jakob; Satterthwaite, Ted; Bennett, David A.; Seyfried, Nicholas T.; Vogel, Jacob; Gaiteri, Chris; Herskowitz, Jeremy H.",A Molecular Basis of Human Brain Connectivity,bioRxiv: The Preprint Server for Biology,,10.1101/2023.07.20.549895,"Neuroimaging is commonly used to infer human brain connectivity, but those measurements are far-removed from the molecular underpinnings at synapses. To uncover the molecular basis of human brain connectivity, we analyzed a unique cohort of 98 individuals who provided neuroimaging and genetic data contemporaneous with dendritic spine morphometric, proteomic, and gene expression data from the superior frontal and inferior temporal gyri. Through cellular contextualization of the molecular data with dendritic spine morphology, we identified hundreds of proteins related to synapses, energy metabolism, and RNA processing that explain between-individual differences in functional connectivity and structural covariation. By integrating data at the genetic, molecular, subcellular, and tissue levels, we bridged the divergent fields of molecular biology and neuroimaging to identify a molecular basis of brain connectivity. ONE-SENTENCE SUMMARY: Dendritic spine morphometry and synaptic proteins unite the divergent fields of molecular biology and neuroimaging.",24/07/2023,2023.07.20.549895,bioRxiv,PubMed,PMID: 37546752 PMCID: PMC10401931,,,
MAP,ZXHAWHJA,journalArticle,2023,"Lamar, Melissa; Arfanakis, Konstantinos; Yu, Lei; Kapasi, Alifiya; Duke Han, S.; Fleischman, Debra A.; Bennett, David A.; Boyle, Patricia",The Relationship of MRI-Derived Alzheimer's and Cerebrovascular-Related Signatures With Level of and Change in Health and Financial Literacy,The American Journal of Geriatric Psychiatry: Official Journal of the American Association for Geriatric Psychiatry,1545-7214,10.1016/j.jagp.2023.07.008,"OBJECTIVE: The cortical thickness ""signature"" of Alzheimer's disease (AD-CT) and white matter hyperintensity (WMH) burden have each been associated with cognitive aging and incident AD and related dementias. Less is known about how these structural neuroimaging markers associate with other critical behaviors. We investigated associations of AD-CT and WMH volumes with a composite index of health and financial literacy given that the ability to access, understand, and utilize health and financial information significantly influences older adults' health outcomes. DESIGN, SETTING, PARTICIPANTS: Participants were 303 adults without dementia (age∼80 years; 74% women) from the Rush Memory and Aging Project. MEASUREMENTS: Baseline 3T MRI T1-weighted structural and T2-weighted FLAIR data were used to assess AD-CT and WMH volumes, respectively. Literacy was measured using questions designed to assess comprehension of health and financial information and concepts, yielding a total literacy score. Multivariable linear mixed effects regression models determined the relationship of each neuroimaging marker, first separately and then combined, with the level of and change in literacy. RESULTS: Reduced AD-CT and higher WMH at baseline were each associated with lower levels of literacy; only AD-CT was associated with the rate of decline in literacy over time. The association of AD-CT with change in literacy persisted when both neuroimaging markers were included in the same model. CONCLUSIONS: The cortical thickness signature of AD predicts changes in health and financial literacy in nondemented older adults suggesting that the multidimensional construct of health and financial literacy relies on specific brain networks implicated in AD.",22/07/2023,S1064-7481(23)00367-6,Am J Geriatr Psychiatry,PubMed,PMID: 37541932,,Alzheimer's disease; aging; cerebrovascular disease; AD signature; cortical thickness; financial literacy; health literacy; white matter hyperintensity,
MAP,ETXHGBDB,journalArticle,2023,"Gicas, Kristina M.; Honer, William G.; Petyuk, Vladislav A.; Wilson, Robert S.; Boyle, Patricia A.; Leurgans, Sue E.; Schneider, Julie A.; De Jager, Philip L.; Bennett, David A.",Primacy and recency effects in verbal memory are differentially associated with post-mortem frontal cortex p-tau 217 and 202 levels in a mixed sample of community-dwelling older adults,Journal of Clinical and Experimental Neuropsychology,1744-411X,10.1080/13803395.2023.2232583,"INTRODUCTION: Serial position effects in verbal memory are associated with in vivo fluid biomarkers and neuropathological outcomes in Alzheimer's disease (AD). To extend the biomarker literature, associations between serial position scores and postmortem levels of brain phosphorylated tau (p-tau) were examined, in the context of Braak stage of neurofibrillary tangle progression. METHOD: Participants were 1091 community-dwelling adults (Mage = 80.2, 68.9% female) from the Rush University Religious Orders Study and Memory and Aging Project who were non-demented at enrollment and followed for a mean of 9.2 years until death. The CERAD Word List Memory test administered at baseline and within 1 year of death was used to calculate serial position (primacy, recency) and total recall scores. Proteomic analyses quantified p-tau 217 and 202 from dorsolateral prefrontal cortex samples. Linear regressions assessed associations between cognitive scores and p-tau with Braak stage as a moderator. RESULTS: Cognitive status proximal to death indicated 34.7% were unimpaired, 26.2% met criteria for MCI, and 39.0% for dementia. Better baseline primacy recall, but not recency recall, was associated with lower p-tau 217 levels across Braak stages. Delayed recall showed a similar pattern as primacy. There was no main effect of immediate recall, but an interaction with Braak stages indicated a negative association with p-tau 217 level only in Braak V-VI. Within 1 year of death, there were no main effects for cognitive scores; however, recency, immediate and delayed recall scores interacted with Braak stage showing better recall was associated with lower p-tau 217 only in Braak V-VI. No associations were observed with p-tau 202. CONCLUSIONS: Primacy recall measured in non-demented adults may be sensitive to emergent tau phosphorylation that occurs in the earliest stages of AD. Serial position scores may complement the routinely used delayed recall score and p-tau biomarkers to detect preclinical AD.",13/07/2023,ene-16,J Clin Exp Neuropsychol,PubMed,PMID: 37440260,,Alzheimer’s disease; biomarkers; phosphorylated tau; serial position; Verbal memory,
MAP,44WX65HQ,journalArticle,2023,"Tio, Earvin S.; Hohman, Timothy J.; Milic, Milos; Bennett, David A.; Felsky, Daniel; Alzheimer’s Disease Neuroimaging Initiative",Testing a Polygenic Risk Score for Morphological Microglial Activation in Alzheimer's Disease and Aging,Journal of Alzheimer's disease: JAD,1875-8908,10.3233/JAD-230434,"BACKGROUND: Neuroinflammation and the activation of microglial cells are among the earliest events in Alzheimer's disease (AD). However, direct observation of microglia in living people is not currently possible. Here, we indexed the heritable propensity for neuroinflammation with polygenic risk scores (PRS), using results from a recent genome-wide analysis of a validated post-mortem measure of morphological microglial activation. OBJECTIVE: We sought to determine whether a PRS for microglial activation (PRSmic) could augment the predictive performance of existing AD PRSs for late-life cognitive impairment. METHODS: First, PRSmic were calculated and optimized in a calibration cohort (Alzheimer's Disease Neuroimaging Initiative (ADNI), n = 450), with resampling. Second, predictive performance of optimal PRSmic was assessed in two independent, population-based cohorts (total n = 212,237). Finally, we explored associations of PRSmic with a comprehensive set of imaging and fluid AD biomarkers in ADNI. RESULTS: Our PRSmic showed no significant improvement in predictive power for either AD diagnosis or cognitive performance in either external cohort. Some nominal associations were found in ADNI, but with inconsistent effect directions. CONCLUSION: While genetic scores capable of indexing risk for neuroinflammatory processes in aging are highly desirable, more well-powered genome-wide studies of microglial activation are required. Further, biobank-scale studies would benefit from phenotyping of proximal neuroinflammatory processes to improve the PRS development phase.",10/07/2023,,J Alzheimers Dis,PubMed,PMID: 37458040,,Alzheimer’s disease; neuroinflammation; Canadian Longitudinal Study on Aging; computational modelling; microglial cell; polygenic traits; statistical data analysis,
MAP,CGDWVELH,journalArticle,2023,"Parrish, Randy L.; Buchman, Aron S.; Tasaki, Shinya; Wang, Yanling; Avey, Denis; Xu, Jishu; De Jager, Philip L.; Bennett, David A.; Epstein, Michael P.; Yang, Jingjing",SR-TWAS: Leveraging Multiple Reference Panels to Improve TWAS Power by Ensemble Machine Learning,medRxiv: The Preprint Server for Health Sciences,,10.1101/2023.06.20.23291605,"Multiple reference panels of a given tissue or multiple tissues often exist, and multiple regression methods could be used for training gene expression imputation models for TWAS. To leverage expression imputation models (i.e., base models) trained with multiple reference panels, regression methods, and tissues, we develop a Stacked Regression based TWAS (SR-TWAS) tool which can obtain optimal linear combinations of base models for a given validation transcriptomic dataset. Both simulation and real studies showed that SR-TWAS improved power due to increased effective training sample sizes and borrowed strength across multiple regression methods and tissues. Leveraging base models across multiple reference panels, tissues, and regression methods, our studies of Alzheimer's disease (AD) dementia and Parkinson's disease (PD) identified respective 11 independent significant risk genes for AD (supplementary motor area tissue) and 12 independent significant risk genes for PD (substantia nigra tissue), including 6 novels for AD and 6 novels for PD.",27/06/2023,2023.06.20.23291605,medRxiv,PubMed,PMID: 37425698 PMCID: PMC10327185,,,
MAP,8SNWKRXS,journalArticle,2023,"Li, Jun; Capuano, Ana W.; Agarwal, Puja; Arvanitakis, Zoe; Wang, Yanling; De Jager, Philip L.; Schneider, Julie A.; Tasaki, Shinya; de Paiva Lopes, Katia; Hu, Frank B.; Bennett, David A.; Liang, Liming; Grodstein, Francine","The MIND diet, brain transcriptomic alterations, and dementia",medRxiv: The Preprint Server for Health Sciences,,10.1101/2023.06.12.23291263,"Identifying novel mechanisms underlying dementia is critical to improving prevention and treatment. As an approach to mechanistic discovery, we investigated whether MIND diet (Mediterranean-DASH Diet Intervention for Neurodegenerative Delay), a consistent risk factor for dementia, is correlated with a specific profile of cortical gene expression, and whether such a transcriptomic profile is associated with dementia, in the Religious Orders Study (ROS) and Rush Memory and Aging Project (MAP). RNA sequencing (RNA-Seq) was conducted in postmortem dorsolateral prefrontal cortex tissue from 1,204 deceased participants; neuropsychological assessments were performed annually prior to death. In a subset of 482 participants, diet was assessed ~6 years before death using a validated food-frequency questionnaire; in these participants, using elastic net regression, we identified a transcriptomic profile, consisting of 50 genes, significantly correlated with MIND diet score ( P =0.001). In multivariable analysis of the remaining 722 individuals, higher transcriptomic score of MIND diet was associated with slower annual rate of decline in global cognition (β=0.011 per standard deviation increment in transcriptomic profile score, P =0.003) and lower odds of dementia (odds ratio [OR] =0.76, P =0.0002). Cortical expression of several genes appeared to mediate the association between MIND diet and dementia, including TCIM , whose expression in inhibitory neurons and oligodendrocytes was associated with dementia in a subset of 424 individuals with single-nuclei RNA-seq data. In a secondary Mendelian randomization analysis, genetically predicted transcriptomic profile score was associated with dementia (OR=0.93, P =0.04). Our study suggests that associations between diet and cognitive health may involve brain molecular alterations at the transcriptomic level. Investigating brain molecular alterations related to diet may inform the identification of novel pathways underlying dementia.",13/06/2023,2023.06.12.23291263,medRxiv,PubMed,PMID: 37398494 PMCID: PMC10312892,,,
MAP,VDME8AWV,journalArticle,2023,"Merchant, Julie P.; Zhu, Kuixi; Henrion, Marc Y. R.; Zaidi, Syed S. A.; Lau, Branden; Moein, Sara; Alamprese, Melissa L.; Pearse, Richard V.; Bennett, David A.; Ertekin-Taner, Nilüfer; Young-Pearse, Tracy L.; Chang, Rui",Predictive network analysis identifies JMJD6 and other potential key drivers in Alzheimer's disease,Communications Biology,2399-3642,10.1038/s42003-023-04791-5,"Despite decades of genetic studies on late-onset Alzheimer's disease, the underlying molecular mechanisms remain unclear. To better comprehend its complex etiology, we use an integrative approach to build robust predictive (causal) network models using two large human multi-omics datasets. We delineate bulk-tissue gene expression into single cell-type gene expression and integrate clinical and pathologic traits, single nucleotide variation, and deconvoluted gene expression for the construction of cell type-specific predictive network models. Here, we focus on neuron-specific network models and prioritize 19 predicted key drivers modulating Alzheimer's pathology, which we then validate by knockdown in human induced pluripotent stem cell-derived neurons. We find that neuronal knockdown of 10 of the 19 targets significantly modulates levels of amyloid-beta and/or phosphorylated tau peptides, most notably JMJD6. We also confirm our network structure by RNA sequencing in the neurons following knockdown of each of the 10 targets, which additionally predicts that they are upstream regulators of REST and VGF. Our work thus identifies robust neuronal key drivers of the Alzheimer's-associated network state which may represent therapeutic targets with relevance to both amyloid and tau pathology in Alzheimer's disease.",15/05/2023,503,Commun Biol,PubMed,PMID: 37188718 PMCID: PMC10185548,,Humans; Amyloid beta-Peptides; Alzheimer Disease; tau Proteins; Induced Pluripotent Stem Cells; Neurons; Jumonji Domain-Containing Histone Demethylases,
MAP,77ZLM6DI,journalArticle,2023,"Sun, Na; Akay, Leyla Anne; Murdock, Mitchell H.; Park, Yongjin; Galiana-Melendez, Fabiola; Bubnys, Adele; Galani, Kyriaki; Mathys, Hansruedi; Jiang, Xueqiao; Ng, Ayesha P.; Bennett, David A.; Tsai, Li-Huei; Kellis, Manolis",Single-nucleus multiregion transcriptomic analysis of brain vasculature in Alzheimer's disease,Nature Neuroscience,1546-1726,10.1038/s41593-023-01334-3,"Cerebrovascular dysregulation is a hallmark of Alzheimer's disease (AD), but the changes that occur in specific cell types have not been fully characterized. Here, we profile single-nucleus transcriptomes in the human cerebrovasculature in six brain regions from 220 individuals with AD and 208 age-matched controls. We annotate 22,514 cerebrovascular cells, including 11 subtypes of endothelial, pericyte, smooth muscle, perivascular fibroblast and ependymal cells. We identify 2,676 differentially expressed genes in AD, including downregulation of PDGFRB in pericytes, and of ABCB1 and ATP10A in endothelial cells, and validate the downregulation of SLC6A1 and upregulation of APOD, INSR and COL4A1 in postmortem AD brain tissues. We detect vasculature, glial and neuronal coexpressed gene modules, suggesting coordinated neurovascular unit dysregulation in AD. Integration with AD genetics reveals 125 AD differentially expressed genes directly linked to AD-associated genetic variants. Lastly, we show that APOE4 genotype-associated differences are significantly enriched among AD-associated genes in capillary and venule endothelial cells, as well as subsets of pericytes and fibroblasts.",2023-06,970-982,Nat Neurosci,PubMed,PMID: 37264161,,Humans; Brain; Gene Expression Profiling; Transcriptome; Alzheimer Disease; Endothelial Cells,
MAP,L52A36ZC,journalArticle,2023,"Nikseresht, Grant; Evia, Arnold M.; Nag, Sukriti; Leurgans, Sue E.; Capuano, Ana W.; Agam, Gady; Barnes, Lisa L.; Bennett, David A.; Schneider, Julie A.; Arfanakis, Konstantinos",Neuropathologic correlates of cerebral microbleeds in community-based older adults,Neurobiology of Aging,1558-1497,10.1016/j.neurobiolaging.2023.05.005,"Cerebral microbleeds (CMBs) appearing as hypointense foci on T2*-weighted magnetic resonance images are small hemorrhages that have been linked to cognitive decline and increased mortality. However, the neuropathologic correlates of CMBs in community-based older adults are poorly understood. The present study investigated the association of age-related neuropathologies with CMBs in community-based older adults. Cerebral hemispheres from 289 participants of the Rush Memory and Aging Project, Religious Orders Study, Minority Aging Research Study, and Rush Alzheimer's Disease Clinical Core underwent ex vivo MRI and detailed neuropathologic examination. Following Bonferroni correction, CMBs in the cerebrum overall and in the frontal lobe were associated with cerebral amyloid angiopathy, CMBs in the frontal lobe were also associated with arteriolosclerosis, and CMBs in the basal ganglia showed a borderline significant association with microinfarcts. These findings suggest that CMBs can aid in the prediction of small vessel disease in community-based older adults. Finally, CMBs were not associated with dementia, suggesting that CMBs in community-based older adults may not be linked to substantial cognitive impairment.",2023-09,89-98,Neurobiol Aging,PubMed,PMID: 37279617,,Aged; Humans; Biomarkers; Alzheimer Disease; Cognitive Dysfunction; Aging; Neuropathology; Cerebral Amyloid Angiopathy; Cerebral Hemorrhage; Ex vivo; Magnetic resonance imaging; Magnetic Resonance Imaging; Microbleed,
